#Occ	chrA	startOnA	endOnA	chrB	startOnB	endOnB	LinksFromWindow	LinksToChrB	LinksToEvent	CoverageOnChrA	OrientationA	OrientationB	FeatureA	FeatureB
29	chr2	89830714	89838438	chr16	46422841	46455850	89	18	10	9.1323	+ (90%)	+ (90%)	rmsk_Satellite	rmsk_Satellite
30	chr13	44066301	44069331	chr15	41853764	41871466	19	15	13	2.55064	- (100%)	- (100%)	gene_uc001uza.4	gene_uc001zof.2
30	chr13	44070537	44076101	chr15	41853321	41870613	18	15	12	2.21941	+ (100%)	+ (100%)	gene_uc001uza.4	gene_uc001zof.2
32	chr6	256804	259376	chr16	32296730	32300882	24	14	8	3.75243	+ (100%)	+ (100%)	rmsk_LINE	rmsk_Simple_repeat
33	chrUn_gl000224	37222	41702	chrUn_gl000233	29333	36267	27	19	19	9.77215	- (100%)	+ (100%)	rmsk_Satellite	rmsk_Satellite
34	chr2	132982709	132987671	chr21	14341775	14367428	32	13	13	8.33145	- (100%)	- (100%)	gene_uc002ttj.3	rmsk_Satellite
34	chr7	61845691	61846479	chr16	32502360	32520258	19	11	10	8.08745	+ (80%)	+ (80%)	rmsk_Satellite	rmsk_Satellite
34	chr7	142483173	142487455	chr9	33792930	33803236	12	12	10	1.86248	- (70%)	+ (70%)	gene_uc003vzp.2	gene_uc003zti.4
35	chr4	3632520	3635574	chr9	44864835	44867946	44	19	8	3.11784	- (100%)	+ (100%)	rmsk_LTR	rmsk_SINE
37	chr9	66859501	66863128	chrUn_gl000219	171431	179113	59	30	18	9.86384	- (88%)	- (88%)	rmsk_Satellite	rmsk_Satellite
37	chr7_gl000195_random	54	6620	chrUn_gl000216	126869	141816	67	8	8	8.81849	+ (100%)	- (87%)	rmsk_LINE	rmsk_Satellite
38	chr2	133005406	133011404	chrY	10039743	10050263	130	14	13	9.6211	+ (92%)	+ (69%)	gene_uc002ttj.3	rmsk_Satellite
38	chr13	20370453	20371046	chrUn_gl000225	183000	198330	39	13	13	7.27273	- (69%)	- (69%)	rmsk_SINE	rmsk_Satellite
38	chr9_gl000199_random	686	7471	chrUn_gl000219	163476	179074	14	10	10	5.12261	+ (80%)	- (80%)	rmsk_Satellite	rmsk_Satellite
40	chr2	89830833	89835699	chr7	61739926	61782699	89	16	8	9.71358	- (50%)	- (50%)	rmsk_Satellite	rmsk_Satellite
40	chr7	1913383	1920442	chr22	23771718	23773402	18	12	12	1.79816	+ (83%)	+ (83%)	gene_uc003sld.1	rmsk_LTR
41	chr7	152091388	152100981	chr21	11085987	11110777	91	72	72	6.79862	+ (98%)	- (98%)	gene_uc003wla.3	gene_uc002yiu.1
42	chr7_gl000195_random	347	6172	chrUn_gl000225	148619	150223	67	13	13	8.28218	+ (100%)	+ (100%)	rmsk_LINE	rmsk_LINE
43	chr2	68914227	68914615	chr5	64463873	64473998	27	14	11	6.1054	- (54%)	+ (54%)	gene_uc010yqk.2	gene_uc003jto.4
43	chr4	33839393	33848718	chr20	26129170	26146416	33	8	8	4.00107	- (50%)	- (50%)	rmsk_LTR	rmsk_LINE
43	chr7_gl000195_random	3	4285	chrUn_gl000220	0	5404	67	18	18	9.85874	+ (100%)	+ (100%)	rmsk_SINE	rmsk_LINE
44	chr2	42051483	42052509	chr4	66404917	66418068	38	22	18	4.00682	- (50%)	- (50%)	rmsk_LINE	gene_uc003hcx.3
44	chr9	132186807	132190580	chr22	23852639	23857274	30	12	11	3.53577	+ (100%)	+ (100%)	rmsk_SINE	rmsk_LINE
45	chr6	57369708	57375200	chr12	34833641	34845266	53	9	8	5.9625	+ (100%)	- (100%)	gene_uc003pdx.3	rmsk_Satellite
46	chr21	11021091	11023325	chrUn_gl000212	935	3960	11	11	11	9.70649	+ (100%)	+ (100%)	gene_uc002yis.1	rmsk_LINE
48	chr4	45014931	45016316	chr9	68359613	68369607	26	17	9	3.86508	+ (55%)	+ (77%)	rmsk_LTR	rmsk_LTR
48	chr13	20370442	20371062	chrUn_gl000216	56711	91932	39	15	15	7.85507	- (66%)	+ (66%)	rmsk_SINE	rmsk_Satellite
49	chr19	55932635	55933082	chrUn_gl000232	1536	9337	15	13	13	5.8058	- (69%)	- (69%)	rmsk_LINE	rmsk_LINE
50	chr2	89830662	89836478	chr10	38876239	38888581	89	16	11	9.59962	+ (63%)	+ (63%)	rmsk_Satellite	rmsk_Satellite
50	chr17	21303103	21305049	chr20	25836746	25848950	28	22	11	5.71289	+ (100%)	- (100%)	gene_uc002gyv.1	gene_uc002wvd.1
50	chr17	21563143	21566314	chr20	25756783	25764216	10	9	9	5.53058	- (100%)	+ (100%)	rmsk_LINE	gene_uc010zth.1
52	chr2	89830569	89836551	chr22	16848769	16858970	89	17	17	9.52064	+ (94%)	+ (94%)	rmsk_Satellite	rmsk_Satellite
52	chrUn_gl000224	158548	161677	chrUn_gl000230	34019	38703	12	12	12	5.29329	+ (100%)	+ (100%)	rmsk_Satellite	rmsk_Satellite
53	chr4	190200596	190202724	chr9	68420653	68425610	69	13	11	9.20902	+ (100%)	- (100%)	rmsk_LTR	rmsk_LINE
53	chr19	24513362	24518580	chrX	61726554	61733799	20	10	8	3.60337	+ (100%)	- (100%)	rmsk_Satellite	rmsk_Satellite
54	chr7	57605657	57610408	chr13	63635020	63648887	18	11	11	5.18918	+ (100%)	- (100%)	rmsk_LINE	rmsk_DNA
54	chr7	100937905	100939354	chr11	114420040	114432174	22	13	12	4.08552	- (100%)	+ (100%)	rmsk_SINE	gene_uc001ppa.3
55	chr5	159349760	159350359	chrX	66978066	66989372	17	13	12	4.48	- (58%)	+ (58%)	gene_uc003lxt.1	rmsk_LINE
55	chr6	378574	381489	chr16	33424731	33428243	31	13	13	3.62174	- (100%)	- (100%)	rmsk_LINE	rmsk_LTR
55	chr6	381664	382410	chr16	33424046	33426981	28	12	12	5.47256	- (100%)	- (100%)		rmsk_SINE
55	chr10	38874932	38878631	chr22	16848109	16857163	49	11	11	8.39189	- (100%)	+ (100%)	rmsk_Satellite	rmsk_Satellite
55	chr18	52053450	52059073	chr18_gl000207_random	2479	4110	13	12	12	2.05903	- (100%)	- (100%)	rmsk_LTR	rmsk_Simple_repeat
58	chr7	151975842	151979620	chr21	11056349	11071522	17	9	9	6.01244	+ (88%)	- (88%)	gene_uc003wla.3	gene_uc002yit.1
58	chr19	27828948	27837300	chrX	61726548	61733250	13	8	8	6.75242	+ (100%)	- (100%)	rmsk_Satellite	rmsk_Satellite
58	chr7_gl000195_random	1	4397	chr17_gl000205_random	119112	121966	67	27	27	9.864	+ (100%)	+ (100%)	rmsk_SINE	gene_uc002kgk.4
58	chr7_gl000195_random	16578	24334	chr17_gl000205_random	89571	108208	17	15	15	9.52688	+ (53%)	+ (60%)	rmsk_Satellite	rmsk_Satellite
58	chr7_gl000195_random	42340	51287	chr17_gl000205_random	63503	72622	12	12	11	10.1424	- (90%)	- (90%)	gene_uc003woj.2	rmsk_LTR
59	chr3	111274102	111274999	chr8	128529846	128537177	26	15	15	3.27506	- (60%)	- (60%)	gene_uc003dxv.3	rmsk_LINE
59	chr16	33958177	33964878	chrUn_gl000229	11781	18399	15	8	8	4.96986	- (50%)	- (50%)	rmsk_rRNA	rmsk_SINE
60	chr2	133028373	133033433	chrUn_gl000220	120241	137905	63	30	30	5.62932	+ (56%)	+ (60%)	rmsk_LINE	gene_uc022brd.2
60	chr13	63616961	63621910	chr17	21667522	21671785	31	9	8	4.52707	+ (62%)	+ (62%)	rmsk_LINE	rmsk_LTR
60	chrY	9951405	9958332	chrUn_gl000232	127	7909	19	17	16	10.1742	- (100%)	+ (100%)	rmsk_LTR	rmsk_LINE
60	chrUn_gl000231	2063	10688	chrUn_gl000232	31701	39834	22	20	20	8.23105	+ (95%)	- (95%)	rmsk_LINE	rmsk_LINE
61	chr18	52209531	52214223	chr18_gl000207_random	395	4188	28	25	25	1.96932	+ (100%)	+ (100%)	rmsk_LTR	rmsk_SINE
62	chr4	190540001	190541806	chr4_gl000193_random	593	4583	53	44	44	8.5072	+ (100%)	+ (100%)	rmsk_LTR	rmsk_LTR
62	chr4	190541835	190547476	chr4_gl000193_random	439	3797	46	21	21	7.21517	+ (100%)	+ (100%)	rmsk_LINE	rmsk_LTR
62	chr5	21566380	21571444	chr6	57573698	57575710	36	13	10	4.86338	- (100%)	- (100%)	gene_uc003jgh.5	rmsk_LINE
62	chr5	21572039	21573385	chr6	57566277	57575636	22	13	11	5.28656	- (100%)	- (100%)	gene_uc003jgh.5	rmsk_LINE
62	chr8	52730149	52731218	chr11	38809273	38818912	31	24	24	4.86916	- (66%)	+ (66%)	gene_uc011ldm.2	rmsk_LINE
62	chr13	63613447	63621916	chr17_gl000203_random	27575	35611	31	15	15	4.23211	- (100%)	+ (100%)	rmsk_LINE	rmsk_DNA
62	chr13	63626666	63633180	chr17_gl000203_random	30714	37414	38	28	28	6.14597	+ (89%)	- (89%)	rmsk_DNA	rmsk_DNA
62	chr13	63634228	63641871	chr20	26141783	26148103	35	11	10	7.95173	- (100%)	- (100%)	rmsk_SINE	rmsk_LTR
62	chr13	63644474	63648796	chr20	26142117	26149540	31	20	20	6.76058	- (100%)	- (100%)	rmsk_DNA	rmsk_LTR
62	chr17	21666611	21670231	chr17_gl000203_random	30008	34343	20	20	20	5.0069	+ (100%)	+ (100%)	rmsk_LINE	rmsk_DNA
